country,name,numeric_id,death_cancer_all,death_breast,death_colon,death_liver,death_mouth,death_oesophagus,daly_breast,daly_colon,daly_liver,daly_mouth,daly_oesophagus,oral_cancer_rate,oral_cancer_cases,cancer_surgery,cancer_registry,cancer_plan,breast_screening,cancer_dept
ESP,Spain,724,137.579445018,9.1,17.8,5.8,4.0,3.1,122.0,164.0,11.5,50.0,33.0,4.5,4814.0,Yes,Yes,Yes,Yes,Yes
LKA,Sri Lanka,144,71.893970133,10.2,5.3,1.1,26.0,18.0,129.0,51.0,83.6,217.0,165.0,9.7,2820.0,Yes,Yes,Yes,Yes,Yes
SDN,Sudan,729,77.231151576,14.0,6.3,7.6,15.6,12.9,178.0,81.0,81.5,169.0,111.0,2.1,564.0,Yes,Yes,No,No,Yes
SUR,Suriname,740,121.119627077,9.3,8.8,9,2.7,1.5,110.0,71.0,130.9,41.0,9,1.8,11.0,Yes,No,Yes,No,Yes
SWE,Sweden,752,131.165301666,9.4,14.1,3.3,1.6,2.1,117.0,131.0,38.4,18.0,19.0,3.1,687.0,Yes,Yes,Yes,Yes,Yes
CHE,Switzerland,756,130.551839669,12.5,13.1,4.5,3.2,3.2,153.0,121.0,5.7,35.0,28.0,3.9,695.0,Yes,Yes,No,Yes,Yes
SYR,Syrian Arab Republic,760,164.920770061,5.9,6.3,0.3,1.2,0.6,87.0,70.0,24.8,15.0,9,1.2,160.0,Yes,No,No,Yes,Yes
TJK,Tajikistan,762,96.346712697,5.0,1.6,2.7,1.9,7.6,74.0,20.0,112.8,21.0,67.0,1.4,79.0,No,No,Yes,No,No
TZA,"Tanzania, United Republic of",834,146.625858853,10.5,4.9,6.3,10.5,19.8,112.0,46.0,37.6,105.0,178.0,1.6,481.0,Yes,Yes,Yes,No,Yes
THA,Thailand,764,155.480470448,6.7,19.8,31.0,8.1,3.3,89.0,95.0,83.7,72.0,27.0,4.0,4770.0,Yes,Yes,Yes,Yes,Yes
TLS,Timor-Leste,626,93.986251008,9.4,12.2,8.4,5.0,0.8,111.0,105.0,191.5,61.0,6,1.2,10.0,No,No,Yes,No,No
TGO,Togo,768,120.170163343,16.2,6.6,18.6,5.1,2,188.0,69.0,78.6,54.0,20.0,1.4,66.0,Yes,No,Yes,No,No
TON,Tonga,776,207.119347233,7.8,3.0,9.4,2.1,1.1,128.0,25.0,34.3,30.0,8,,,Yes,No,No,Yes,No
TTO,Trinidad and Tobago,780,114.946766736,13.9,12.4,3.8,3.5,2.3,209.0,139.0,13.6,39.0,24.0,1.7,33.0,Yes,Yes,Yes,Don't know,Yes
TUN,Tunisia,788,108.05505957,4.8,4.3,1.4,2.8,0.7,62.0,41.0,25.3,31.0,6,1.7,246.0,Yes,Yes,Yes,Yes,Yes
TKM,Turkmenistan,795,95.494086195,5.2,1.4,3.3,7.0,16.4,72.0,19.0,148.9,74.0,163.0,3.2,163.0,Yes,No,Yes,Yes,Yes
TUV,Tuvalu,798,,10.6,3.8,14.2,3.5,1.4,189.0,33.0,77.2,56.0,12.0,,,No,No,No,No,No
TUR,Türkiye,792,185.275912305,8.2,8.8,2.4,3.4,2.4,98.0,92.0,35.3,37.0,23.0,2.1,2103.0,Yes,Yes,Yes,Yes,Yes
UGA,Uganda,800,127.275527047,8.4,9.7,7,5.2,22.3,80.0,76.0,39.7,60.0,193.0,2.1,386.0,No,Yes,Yes,No,No
UKR,Ukraine,804,171.62649015,12.4,17.0,3.6,5.6,2.5,166.0,168.0,14.8,72.0,28.0,4.5,3422.0,Yes,Yes,Yes,Yes,Yes
ARE,United Arab Emirates,784,97.187169786,3.5,6.8,2,3.1,4.8,35.0,47.0,24.2,23.0,28.0,1.5,82.0,Yes,Yes,Yes,Yes,Yes
GBR,United Kingdom of Great Britain and Northern Ireland,826,152.569007429,14.5,17.0,2.7,2.5,7.9,182.0,152.0,67.9,28.0,65.0,5.1,6317.0,Yes,Yes,Yes,Yes,Yes
USA,United States of America,840,138.028994471,11.3,13.7,3.8,2.2,3.6,171.0,144.0,17.4,23.0,33.0,4.2,24470.0,Yes,Yes,Yes,Yes,Yes
URY,Uruguay,858,152.648059853,16.7,20.8,1.9,4.7,7.2,198.0,180.0,24.9,55.0,60.0,2.5,144.0,Yes,Yes,No,Yes,Yes
UZB,Uzbekistan,860,86.552048203,5.2,2.2,2.3,4.3,7.8,77.0,29.0,157.8,47.0,83.0,3.3,925.0,Yes,Yes,Yes,Yes,Yes
VUT,Vanuatu,548,101.921312293,9.3,2.5,15.1,4.1,,128.0,19.0,38.9,35.0,,2.5,5.0,No,No,Yes,Yes,No
VEN,"Venezuela, Bolivarian Republic of",862,94.219220491,8.4,7.5,4.3,1.9,1.6,116.0,70.0,148.5,18.0,13.0,1.9,601.0,Yes,No,No,Yes,Yes
VNM,Viet Nam,704,153.444233438,6.1,10.0,15.1,8.9,2.8,72.0,83.0,72.2,84.0,22.0,1.9,2152.0,Yes,Yes,Yes,Yes,Yes
YEM,Yemen,887,65.333184683,12.5,6.6,8,7.8,9.2,184.0,86.0,191.0,102.0,61.0,1.7,277.0,Don't know,No,No,No,Don't know
ZMB,Zambia,894,136.242506721,7.4,5.9,18.8,4.6,7.9,64.0,50.0,186.4,39.0,77.0,1.5,123.0,Yes,Yes,Yes,Don't know,Yes
ZWE,Zimbabwe,716,167.049107296,6.5,6.2,19.4,3.2,16.1,80.0,60.0,,35.0,143.0,1.4,110.0,Yes,Yes,Yes,No,Yes
